period,practice_code,lsoa,population
01/01/2018,B82005,E01013400,628
01/01/2018,B82005,E01013401,959
01/01/2018,B82005,E01013402,628
01/01/2018,B82005,E01013403,712
01/01/2018,B82005,E01013404,230
01/01/2018,B82005,E01013405,423
01/01/2018,B82005,E01013406,979
01/01/2018,B82005,E01013407,119
01/01/2018,B82005,E01013408,94
01/01/2018,B82005,E01013409,290
01/01/2018,B82005,E01013410,136
01/01/2018,B82005,E01013411,227
01/01/2018,B82005,E01013412,285
01/01/2018,B82005,E01013413,382
01/01/2018,B82005,E01013414,225
01/01/2018,B82005,E01013416,587
01/01/2018,B82005,E01013417,210
01/01/2018,B82005,E01013418,864
01/01/2018,B82005,E01013419,1259
01/01/2018,B82005,E01013420,915
01/01/2018,B82005,E01013421,145
01/01/2018,B82005,E01013422,250
01/01/2018,B82005,E01013423,48
01/01/2018,B82005,E01013424,58
01/01/2018,B82005,E01013425,92
01/01/2018,B82005,E01013426,112
01/01/2018,B82005,E01013427,92
01/01/2018,B82005,E01013428,829
01/01/2018,B82005,E01013429,633
01/01/2018,B82005,E01013430,130
01/01/2018,B82005,E01013431,525
01/01/2018,B82005,E01013432,589
01/01/2018,B82005,E01013433,438
01/01/2018,B82005,E01013434,466
01/01/2018,B82005,E01013435,534
01/01/2018,B82005,E01013436,71
01/01/2018,B82005,E01013437,124
01/01/2018,B82005,E01013438,24
01/01/2018,B82005,E01013439,28
01/01/2018,B82005,E01013440,22
01/01/2018,B82005,E01013441,362
01/01/2018,B82005,E01013442,358
01/01/2018,B82005,E01013443,717
01/01/2018,B82005,E01013444,426
01/01/2018,B82005,E01013445,560
01/01/2018,B82005,E01013446,807
01/01/2018,B82005,E01013447,899
01/01/2018,B82005,E01013448,641
01/01/2018,B82005,E01013449,534
01/01/2018,B82005,E01013450,318
01/01/2018,B82005,E01013451,23
01/01/2018,B82005,E01013452,76
01/01/2018,B82005,E01027594,23
01/01/2018,B82005,E01027619,31
01/01/2018,B82005,E01027684,23
01/01/2018,B82005,E01027696,1467
01/01/2018,B82005,E01027797,22
01/01/2018,B82005,E01027875,43
01/01/2018,B82005,E01027900,22
01/01/2018,B82005,E01027901,25
01/01/2018,B82005,E01027902,38
01/01/2018,B82005,E01027903,32
01/01/2018,B82005,E01033067,470
01/01/2018,B82005,E01033068,294
01/01/2018,B82005,E01033069,323
01/01/2018,B82005,E01033070,191
01/01/2018,B82018,E01013022,72
01/01/2018,B82018,E01013365,87
01/01/2018,B82018,E01013450,619
01/01/2018,B82018,E01013452,277
01/01/2018,B82018,E01027876,139
01/01/2018,B82018,E01027877,189
01/01/2018,B82018,E01027896,21
01/01/2018,B82018,E01027897,262
01/01/2018,B82018,E01027900,1625
01/01/2018,B82018,E01027901,389
01/01/2018,B82018,E01027902,745
01/01/2018,B82018,E01027903,1428
01/01/2018,B82021,E01013335,62
01/01/2018,B82021,E01013336,49
01/01/2018,B82021,E01013337,93
01/01/2018,B82021,E01013338,97
01/01/2018,B82021,E01013339,89
01/01/2018,B82021,E01013340,85
01/01/2018,B82021,E01013341,55
01/01/2018,B82021,E01013342,92
01/01/2018,B82021,E01013346,28
01/01/2018,B82021,E01013353,134
01/01/2018,B82021,E01013354,57
01/01/2018,B82021,E01013355,149
01/01/2018,B82021,E01013356,76
01/01/2018,B82021,E01013357,534
01/01/2018,B82021,E01013358,548
01/01/2018,B82021,E01013359,76
01/01/2018,B82021,E01013366,30
01/01/2018,B82021,E01013383,25
01/01/2018,B82021,E01013390,72
01/01/2018,B82021,E01013391,533
01/01/2018,B82021,E01013392,67
01/01/2018,B82021,E01013393,112
01/01/2018,B82021,E01013394,68
01/01/2018,B82021,E01013395,238
01/01/2018,B82021,E01013396,122
01/01/2018,B82021,E01013397,410
01/01/2018,B82021,E01013412,277
01/01/2018,B82021,E01013413,289
01/01/2018,B82021,E01013414,135
01/01/2018,B82021,E01013416,366
01/01/2018,B82021,E01013417,1124
01/01/2018,B82021,E01013418,148
01/01/2018,B82021,E01013421,52
01/01/2018,B82021,E01013422,45
01/01/2018,B82021,E01013423,35
01/01/2018,B82021,E01013424,22
01/01/2018,B82021,E01013425,51
01/01/2018,B82021,E01013427,34
01/01/2018,B82021,E01013431,26
01/01/2018,B82021,E01013432,27
01/01/2018,B82021,E01013441,81
01/01/2018,B82021,E01013442,34
01/01/2018,B82021,E01013443,81
01/01/2018,B82021,E01013444,50
01/01/2018,B82021,E01013445,77
01/01/2018,B82021,E01013446,38
01/01/2018,B82021,E01013447,42
01/01/2018,B82021,E01013448,50
01/01/2018,B82021,E01013449,76
01/01/2018,B82021,E01027875,90
01/01/2018,B82021,E01033068,210
01/01/2018,B82021,E01033069,138
01/01/2018,B82021,E01033070,23
01/01/2018,B82026,E01013335,472
01/01/2018,B82026,E01013336,371
01/01/2018,B82026,E01013337,536
01/01/2018,B82026,E01013338,391
01/01/2018,B82026,E01013339,461
01/01/2018,B82026,E01013341,26
01/01/2018,B82026,E01013346,27
01/01/2018,B82026,E01013348,47
01/01/2018,B82026,E01013351,50
01/01/2018,B82026,E01013353,165
01/01/2018,B82026,E01013354,166
01/01/2018,B82026,E01013355,144
01/01/2018,B82026,E01013356,142
01/01/2018,B82026,E01013357,144
01/01/2018,B82026,E01013358,81
01/01/2018,B82026,E01013359,209
01/01/2018,B82026,E01013370,1317
01/01/2018,B82026,E01013371,1332
01/01/2018,B82026,E01013372,1557
01/01/2018,B82026,E01013373,1396
01/01/2018,B82026,E01013374,1335
01/01/2018,B82026,E01013375,1155
01/01/2018,B82026,E01013376,1366
01/01/2018,B82026,E01013377,1447
01/01/2018,B82026,E01013379,38
01/01/2018,B82026,E01013385,41
01/01/2018,B82026,E01013386,84
01/01/2018,B82026,E01013387,59
01/01/2018,B82026,E01013388,100
01/01/2018,B82026,E01013389,32
01/01/2018,B82026,E01013390,90
01/01/2018,B82026,E01013391,92
01/01/2018,B82026,E01013392,221
01/01/2018,B82026,E01013393,133
01/01/2018,B82026,E01013394,172
01/01/2018,B82026,E01013395,118
01/01/2018,B82026,E01013396,244
01/01/2018,B82026,E01013397,104
01/01/2018,B82026,E01013404,879
01/01/2018,B82026,E01013405,470
01/01/2018,B82026,E01013406,445
01/01/2018,B82026,E01013407,933
01/01/2018,B82026,E01013408,783
01/01/2018,B82026,E01013409,723
01/01/2018,B82026,E01013410,1104
01/01/2018,B82026,E01013411,656
01/01/2018,B82026,E01013412,21
01/01/2018,B82026,E01013414,21
01/01/2018,B82026,E01013417,27
01/01/2018,B82026,E01013421,295
01/01/2018,B82026,E01013422,1109
01/01/2018,B82026,E01013423,34
01/01/2018,B82026,E01013425,31
01/01/2018,B82026,E01013426,1407
01/01/2018,B82026,E01013427,1234
01/01/2018,B82026,E01013429,55
01/01/2018,B82026,E01013430,153
01/01/2018,B82026,E01013432,80
01/01/2018,B82026,E01013433,38
01/01/2018,B82026,E01013434,61
01/01/2018,B82026,E01013435,26
01/01/2018,B82026,E01013436,482
01/01/2018,B82026,E01013437,911
01/01/2018,B82026,E01013438,273
01/01/2018,B82026,E01013439,161
01/01/2018,B82026,E01013440,305
01/01/2018,B82026,E01013441,284
01/01/2018,B82026,E01013442,530
01/01/2018,B82026,E01013443,312
01/01/2018,B82026,E01013444,467
01/01/2018,B82026,E01013445,373
01/01/2018,B82026,E01013446,349
01/01/2018,B82026,E01013447,285
01/01/2018,B82026,E01013448,265
01/01/2018,B82026,E01013449,368
01/01/2018,B82026,E01027601,42
01/01/2018,B82026,E01027619,63
01/01/2018,B82026,E01027684,93
01/01/2018,B82026,E01027696,184
01/01/2018,B82026,E01027797,113
01/01/2018,B82026,E01027799,40
01/01/2018,B82026,E01027875,22
01/01/2018,B82031,E01027886,100
01/01/2018,B82031,E01027887,35
01/01/2018,B82031,E01027888,1211
01/01/2018,B82031,E01027891,33
01/01/2018,B82031,E01027893,105
01/01/2018,B82031,E01027898,609
01/01/2018,B82031,E01027899,325
01/01/2018,B82031,E01027904,1101
01/01/2018,B82031,E01027914,1348
