"period","practice_code","lsoa","population"
"2021-07-01","B82005","E01013382",1073
"2021-07-01","B82005","E01013383",945
"2021-07-01","B82005","E01013384",928
"2021-07-01","B82005","E01013385",1026
"2021-07-01","B82005","E01013386",1051
"2021-07-01","B82005","E01013387",900
"2021-07-01","B82005","E01013388",476
"2021-07-01","B82005","E01013389",744
"2021-07-01","B82005","E01013390",687
"2021-07-01","B82005","E01013391",462
"2021-07-01","B82005","E01013392",717
"2021-07-01","B82005","E01013393",652
"2021-07-01","B82005","E01013394",470
"2021-07-01","B82005","E01013395",435
"2021-07-01","B82005","E01013396",340
"2021-07-01","B82005","E01013397",375
"2021-07-01","B82005","E01013398",943
"2021-07-01","B82005","E01013399",1353
"2021-07-01","B82005","E01013400",696
"2021-07-01","B82005","E01013401",966
"2021-07-01","B82005","E01013402",644
"2021-07-01","B82005","E01013403",735
"2021-07-01","B82005","E01013404",242
"2021-07-01","B82005","E01013405",388
"2021-07-01","B82005","E01013406",1019
"2021-07-01","B82005","E01013407",132
"2021-07-01","B82005","E01013408",102
"2021-07-01","B82005","E01013409",305
"2021-07-01","B82005","E01013410",164
"2021-07-01","B82005","E01013411",252
"2021-07-01","B82005","E01013412",261
"2021-07-01","B82005","E01013413",349
"2021-07-01","B82005","E01013414",220
"2021-07-01","B82005","E01013416",514
"2021-07-01","B82005","E01013417",174
"2021-07-01","B82005","E01013418",715
"2021-07-01","B82005","E01013419",1620
"2021-07-01","B82005","E01013420",945
"2021-07-01","B82005","E01013421",132
"2021-07-01","B82005","E01013422",261
"2021-07-01","B82005","E01013423",53
"2021-07-01","B82005","E01013424",62
"2021-07-01","B82005","E01013425",92
"2021-07-01","B82005","E01013426",80
"2021-07-01","B82005","E01013427",95
"2021-07-01","B82005","E01013428",841
"2021-07-01","B82005","E01013429",616
"2021-07-01","B82005","E01013430",152
"2021-07-01","B82005","E01013431",646
"2021-07-01","B82005","E01013432",635
"2021-07-01","B82005","E01013433",435
"2021-07-01","B82005","E01013434",456
"2021-07-01","B82005","E01013435",536
"2021-07-01","B82005","E01013436",87
"2021-07-01","B82005","E01013437",133
"2021-07-01","B82005","E01013440",24
"2021-07-01","B82005","E01013441",325
"2021-07-01","B82005","E01013442",370
"2021-07-01","B82005","E01013443",659
"2021-07-01","B82005","E01013444",431
"2021-07-01","B82005","E01013445",575
"2021-07-01","B82005","E01013446",790
"2021-07-01","B82005","E01013447",852
"2021-07-01","B82005","E01013448",646
"2021-07-01","B82005","E01013449",600
"2021-07-01","B82005","E01013450",300
"2021-07-01","B82005","E01013451",26
"2021-07-01","B82005","E01013452",79
"2021-07-01","B82005","E01027619",21
"2021-07-01","B82005","E01027696",1717
"2021-07-01","B82005","E01027875",28
"2021-07-01","B82005","E01027900",26
"2021-07-01","B82005","E01027901",31
"2021-07-01","B82005","E01027902",49
"2021-07-01","B82005","E01033067",479
"2021-07-01","B82005","E01033068",327
"2021-07-01","B82005","E01033069",345
"2021-07-01","B82005","E01033070",210
"2021-07-01","B82018","E01013022",60
"2021-07-01","B82018","E01013362",22
"2021-07-01","B82018","E01013365",111
"2021-07-01","B82018","E01013450",621
"2021-07-01","B82018","E01013452",267
"2021-07-01","B82018","E01027876",143
"2021-07-01","B82018","E01027877",297
"2021-07-01","B82018","E01027896",22
"2021-07-01","B82018","E01027897",307
"2021-07-01","B82018","E01027900",1682
"2021-07-01","B82018","E01027901",480
"2021-07-01","B82018","E01027902",734
"2021-07-01","B82018","E01027903",1401
"2021-07-01","B82021","E01013335",63
"2021-07-01","B82021","E01013336",50
"2021-07-01","B82021","E01013337",88
"2021-07-01","B82021","E01013338",105
"2021-07-01","B82021","E01013339",86
"2021-07-01","B82021","E01013340",106
"2021-07-01","B82021","E01013341",77
"2021-07-01","B82021","E01013342",88
"2021-07-01","B82021","E01013344",23
"2021-07-01","B82021","E01013345",23
"2021-07-01","B82021","E01013346",22
"2021-07-01","B82021","E01013353",130
"2021-07-01","B82021","E01013354",49
"2021-07-01","B82021","E01013355",168
"2021-07-01","B82021","E01013356",84
"2021-07-01","B82021","E01013357",550
"2021-07-01","B82021","E01013358",584
"2021-07-01","B82021","E01013359",70
"2021-07-01","B82021","E01013364",32
"2021-07-01","B82021","E01013365",23
"2021-07-01","B82021","E01013390",72
"2021-07-01","B82021","E01013391",573
"2021-07-01","B82021","E01013392",88
"2021-07-01","B82021","E01013393",146
"2021-07-01","B82021","E01013394",73
"2021-07-01","B82021","E01013395",258
"2021-07-01","B82021","E01013396",141
"2021-07-01","B82021","E01013397",468
"2021-07-01","B82021","E01013412",308
"2021-07-01","B82021","E01013413",329
"2021-07-01","B82021","E01013414",146
"2021-07-01","B82021","E01013416",450
"2021-07-01","B82021","E01013417",1274
"2021-07-01","B82021","E01013418",186
"2021-07-01","B82021","E01013421",57
"2021-07-01","B82021","E01013422",42
"2021-07-01","B82021","E01013423",23
"2021-07-01","B82021","E01013424",22
"2021-07-01","B82021","E01013425",63
"2021-07-01","B82021","E01013427",37
"2021-07-01","B82021","E01013441",98
"2021-07-01","B82021","E01013442",39
"2021-07-01","B82021","E01013443",89
"2021-07-01","B82021","E01013444",58
"2021-07-01","B82021","E01013445",82
"2021-07-01","B82021","E01013446",43
"2021-07-01","B82021","E01013447",57
"2021-07-01","B82021","E01013448",62
"2021-07-01","B82021","E01013449",76
"2021-07-01","B82021","E01027875",81
"2021-07-01","B82021","E01033068",184
"2021-07-01","B82021","E01033069",184
"2021-07-01","B82026","E01013335",439
"2021-07-01","B82026","E01013336",359
"2021-07-01","B82026","E01013337",525
"2021-07-01","B82026","E01013338",408
"2021-07-01","B82026","E01013339",452
"2021-07-01","B82026","E01013340",22
"2021-07-01","B82026","E01013341",23
"2021-07-01","B82026","E01013346",29
"2021-07-01","B82026","E01013348",40
"2021-07-01","B82026","E01013351",68
"2021-07-01","B82026","E01013353",167
"2021-07-01","B82026","E01013354",147
"2021-07-01","B82026","E01013355",127
"2021-07-01","B82026","E01013356",142
"2021-07-01","B82026","E01013357",164
"2021-07-01","B82026","E01013358",90
"2021-07-01","B82026","E01013359",208
"2021-07-01","B82026","E01013370",1316
"2021-07-01","B82026","E01013371",1303
"2021-07-01","B82026","E01013372",1513
"2021-07-01","B82026","E01013373",1404
"2021-07-01","B82026","E01013374",1364
"2021-07-01","B82026","E01013375",1139
"2021-07-01","B82026","E01013376",1352
"2021-07-01","B82026","E01013377",1465
"2021-07-01","B82026","E01013379",32
"2021-07-01","B82026","E01013385",49
"2021-07-01","B82026","E01013386",76
"2021-07-01","B82026","E01013387",54
"2021-07-01","B82026","E01013388",104
"2021-07-01","B82026","E01013389",40
"2021-07-01","B82026","E01013390",75
"2021-07-01","B82026","E01013391",76
"2021-07-01","B82026","E01013392",218
"2021-07-01","B82026","E01013393",123
"2021-07-01","B82026","E01013394",161
"2021-07-01","B82026","E01013395",116
"2021-07-01","B82026","E01013396",225
"2021-07-01","B82026","E01013397",104
"2021-07-01","B82026","E01013404",1042
"2021-07-01","B82026","E01013405",459
"2021-07-01","B82026","E01013406",426
"2021-07-01","B82026","E01013407",985
"2021-07-01","B82026","E01013408",779
"2021-07-01","B82026","E01013409",800
"2021-07-01","B82026","E01013410",1056
"2021-07-01","B82026","E01013411",645
"2021-07-01","B82026","E01013412",26
"2021-07-01","B82026","E01013417",30
"2021-07-01","B82026","E01013419",44
"2021-07-01","B82026","E01013421",322
"2021-07-01","B82026","E01013422",1100
"2021-07-01","B82026","E01013423",41
"2021-07-01","B82026","E01013425",33
"2021-07-01","B82026","E01013426",1420
"2021-07-01","B82026","E01013427",1196
"2021-07-01","B82026","E01013429",55
"2021-07-01","B82026","E01013430",214
"2021-07-01","B82026","E01013431",32
"2021-07-01","B82026","E01013432",77
"2021-07-01","B82026","E01013433",32
"2021-07-01","B82026","E01013434",58
"2021-07-01","B82026","E01013435",34
"2021-07-01","B82026","E01013436",514
"2021-07-01","B82026","E01013437",931
"2021-07-01","B82026","E01013438",290
"2021-07-01","B82026","E01013439",171
"2021-07-01","B82026","E01013440",326
"2021-07-01","B82026","E01013441",239
"2021-07-01","B82026","E01013442",543
"2021-07-01","B82026","E01013443",299
"2021-07-01","B82026","E01013444",452
"2021-07-01","B82026","E01013445",420
"2021-07-01","B82026","E01013446",360
"2021-07-01","B82026","E01013447",268
"2021-07-01","B82026","E01013448",269
"2021-07-01","B82026","E01013449",355
"2021-07-01","B82026","E01027601",53
"2021-07-01","B82026","E01027619",112
"2021-07-01","B82026","E01027683",21
"2021-07-01","B82026","E01027684",96
"2021-07-01","B82026","E01027696",175
"2021-07-01","B82026","E01027797",107
"2021-07-01","B82026","E01027799",43
"2021-07-01","B82031","E01027886",129
"2021-07-01","B82031","E01027887",29
"2021-07-01","B82031","E01027888",1228
"2021-07-01","B82031","E01027891",33
"2021-07-01","B82031","E01027893",122
"2021-07-01","B82031","E01027898",610
"2021-07-01","B82031","E01027899",316
"2021-07-01","B82031","E01027904",1122
"2021-07-01","B82031","E01027914",1318
"2021-07-01","B82031","E01027915",1324
"2021-07-01","B82031","E01027916",1367
"2021-07-01","B82031","E01027917",2693
"2021-07-01","B82031","E01027922",26
"2021-07-01","B82033","E01027774",203
"2021-07-01","B82033","E01027776",1152
"2021-07-01","B82033","E01027777",299
"2021-07-01","B82033","E01027783",30
"2021-07-01","B82033","E01027792",2166
"2021-07-01","B82033","E01027793",1477
"2021-07-01","B82033","E01027794",1914
"2021-07-01","B82033","E01027795",1582
"2021-07-01","B82033","E01027800",255
"2021-07-01","B82033","E01027801",910
"2021-07-01","B82033","E01027802",583
"2021-07-01","B82041","E01027876",346
"2021-07-01","B82041","E01027877",450
"2021-07-01","B82041","E01027878",369
"2021-07-01","B82041","E01027879",633
"2021-07-01","B82041","E01027880",797
"2021-07-01","B82041","E01027881",1009
"2021-07-01","B82041","E01027882",907
"2021-07-01","B82041","E01027883",517
"2021-07-01","B82041","E01027884",789
"2021-07-01","B82041","E01027885",1079
"2021-07-01","B82041","E01027886",322
"2021-07-01","B82041","E01027887",348
"2021-07-01","B82041","E01027890",374
"2021-07-01","B82041","E01027893",383
"2021-07-01","B82041","E01027894",580
"2021-07-01","B82041","E01027895",518
"2021-07-01","B82041","E01027896",293
